QBA_QUESTIONABLE_BOOLEAN_ASSIGNMENT	AssignmentInSubExpressionCheck
SE_METHOD_MUST_BE_PRIVATE	RSPEC-2061
FI_EXPLICIT_INVOCATION	ObjectFinalizeCheck
SS_SHOULD_BE_STATIC	RSPEC-1170
MS_SHOULD_BE_FINAL	RSPEC-1444
EQ_DONT_DEFINE_EQUALS_FOR_ENUM	RSPEC-1201
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED	RSPEC-2275
INT_VACUOUS_BIT_OPERATION	RSPEC-2437
SF_SWITCH_NO_DEFAULT	SwitchLastCaseIsDefaultCheck
DM_BOXED_PRIMITIVE_FOR_PARSING	RSPEC-2130
EQ_COMPARING_CLASS_NAMES	RSPEC-1872
IMSE_DONT_CATCH_IMSE	RSPEC-2235
HE_HASHCODE_NO_EQUALS	RSPEC-1206
NM_CLASS_NAMING_CONVENTION	RSPEC-101
EQ_DOESNT_OVERRIDE_EQUALS	RSPEC-2160
SA_LOCAL_SELF_ASSIGNMENT_INSTEAD_OF_FIELD	RSPEC-1656
DM_USELESS_THREAD	RSPEC-2134
JML_JSR166_CALLING_WAIT_RATHER_THAN_AWAIT	RSPEC-1844
FI_NULLIFY_SUPER	ObjectFinalizeOverridenCallsSuperFinalizeCheck, RSPEC-1186
DM_NEW_FOR_GETCLASS	RSPEC-2133
SE_BAD_FIELD_INNER_CLASS	RSPEC-2066
RC_REF_COMPARISON	RSPEC-1698
SE_NO_SUITABLE_CONSTRUCTOR	RSPEC-2055
MWN_MISMATCHED_NOTIFY	RSPEC-2273
SA_LOCAL_DOUBLE_ASSIGNMENT	RSPEC-1656
RV_RETURN_VALUE_IGNORED2	RSPEC-2201
DM_RUN_FINALIZERS_ON_EXIT	RSPEC-2151
FI_FINALIZER_NULLS_FIELDS	RSPEC-2165
FE_TEST_IF_EQUAL_TO_NOT_A_NUMBER	RSPEC-1244
DMI_CONSTANT_DB_PASSWORD	RSPEC-2068
NM_METHOD_NAMING_CONVENTION	RSPEC-100
ES_COMPARING_STRINGS_WITH_EQ	StringEqualityComparisonCheck
VA_FORMAT_STRING_BAD_CONVERSION_TO_BOOLEAN	RSPEC-2275
QF_QUESTIONABLE_FOR_LOOP	RSPEC-1994
CN_IDIOM_NO_SUPER_CALL	RSPEC-1182
ML_SYNC_ON_FIELD_TO_GUARD_CHANGING_THAT_FIELD	RSPEC-2445
MWN_MISMATCHED_WAIT	RSPEC-2273
DMI_INVOKING_TOSTRING_ON_ARRAY	RSPEC-2116
DM_EXIT	RSPEC-1147
SE_BAD_FIELD	RSPEC-1948
SA_LOCAL_SELF_ASSIGNMENT	RSPEC-1656
EQ_SELF_NO_OBJECT	RSPEC-1201
NP_TOSTRING_COULD_RETURN_NULL	RSPEC-2225
GC_UNRELATED_TYPES	RSPEC-2175
NS_NON_SHORT_CIRCUIT	RSPEC-2178
LI_LAZY_INIT_STATIC	RSPEC-2444
NM_FUTURE_KEYWORD_USED_AS_IDENTIFIER	RSPEC-1190
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG	RSPEC-2184
SA_FIELD_SELF_ASSIGNMENT	RSPEC-1656
VA_FORMAT_STRING_MISSING_ARGUMENT	RSPEC-2275
SBSC_USE_STRINGBUFFER_CONCATENATION	RSPEC-1643
ISC_INSTANTIATE_STATIC_CLASS	RSPEC-2440
IT_NO_SUCH_ELEMENT	RSPEC-2272
JLM_JSR166_LOCK_MONITORENTER	RSPEC-2442
MSF_MUTABLE_SERVLET_FIELD	RSPEC-2226
SE_NONSTATIC_SERIALVERSIONID	RSPEC-2057
BC_VACUOUS_INSTANCEOF	RSPEC-1850
RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN	RSPEC-1698
NS_DANGEROUS_NON_SHORT_CIRCUIT	RSPEC-2178
MS_OOI_PKGPROTECT	RSPEC-2386
ESync_EMPTY_SYNC	RSPEC-108
DLS_OVERWRITTEN_INCREMENT	RSPEC-2123

